Hora,RPM,Velocidad,Gear
10:41:22,3337.342531,44.93001748,2
10:41:22,3356.370455,45.26889418,2
10:41:22,3375.152006,45.60760275,2
10:41:23,3393.946736,45.94597971,2
10:41:23,3412.638878,46.28409744,2
10:41:23,3431.279782,46.62192336,2
10:41:23,3451.020223,46.95894048,2
10:41:23,3470.284753,47.29614426,2
10:41:23,3489.768951,47.63311532,2
10:41:23,3509.034959,47.97011579,2
10:41:23,3528.353049,48.30698196,2
10:41:23,3547.560851,48.64381034,2
10:41:23,3566.754435,48.98054196,2
10:41:24,3586.488402,49.31683844,2
10:41:24,3606.160819,49.65305886,2
10:41:24,3625.377328,49.98918654,2
10:41:24,3643.921071,50.3248146,2
10:41:24,3662.806672,50.65935846,2
10:41:24,3681.260951,50.99326892,2
10:41:24,3699.861502,51.32621469,2
10:41:24,3718.189542,51.65844118,2
10:41:24,3736.543698,51.98977865,2
10:41:25,3754.718391,52.32034898,2
10:41:25,3772.853854,52.6500741,2
10:41:25,3790.85885,52.97900968,2
10:41:25,3808.793286,53.30712406,2
10:41:25,3826.620766,53.63444117,2
10:41:25,3844.364724,53.96095037,2
10:41:25,3863.994463,54.28544287,2
10:41:25,3882.711878,54.60952425,2
10:41:25,3902.337291,54.93212694,2
10:41:26,3920.676059,55.25454464,2
10:41:26,3940.324549,55.57525424,2
10:41:26,3958.274641,55.8960266,2
10:41:26,3977.945117,56.21485645,2
10:41:26,3995.53005,56.53398199,2
10:41:26,4015.184805,56.85096678,2
10:41:26,4032.53407,57.16842225,2
10:41:26,4052.114582,57.48369536,2
10:41:26,4069.265016,57.7995289,2
10:41:26,4088.663782,58.11317613,2
10:41:27,4105.709989,58.42734268,2
10:41:27,4124.840713,58.73942518,2
10:41:27,4141.863498,59.0518878,2
10:41:27,4160.662782,59.36245308,2
10:41:27,4177.712894,59.67319243,2
10:41:27,4196.151708,59.98226769,2
10:41:27,4213.244024,60.29128543,2
10:41:27,4231.327818,60.59887754,2
10:41:27,4248.446451,60.90619327,2
10:41:28,4266.205904,61.21229421,2
10:41:28,4283.316224,61.51793841,2
10:41:28,4300.793927,61.82253314,2
10:41:28,4317.85575,62.12653939,2
10:41:28,4335.094254,62.42961286,2
10:41:28,4352.07173,62.73201206,2
10:41:28,4369.106142,63.0335535,2
10:41:28,4385.972595,63.3343711,2
10:41:28,4402.828092,63.63437551,2
10:41:28,4419.360789,63.93363113,2
10:41:29,4434.971711,64.23190822,2
10:41:29,4451.036041,64.52844769,2
10:41:29,4466.587005,64.82379913,2
10:41:29,4482.290731,65.11760033,2
10:41:29,4497.702572,65.41010864,2
10:41:29,4513.114891,65.70117055,2
10:41:29,4528.343083,65.9908981,2
10:41:29,4543.503513,66.27923576,2
10:41:29,4558.527354,66.56623091,2
10:41:30,4573.456829,66.85186915,2
10:41:30,4588.269234,67.13617204,2
10:41:30,4602.978826,67.41914058,2
10:41:30,4617.579338,67.70078706,2
10:41:30,4632.075578,67.98111757,2
10:41:30,4646.466509,68.26014135,2
10:41:30,4660.754074,68.53786592,2
10:41:30,4674.938715,68.81429959,2
10:41:30,4689.021587,69.08945017,2
10:41:30,4703.003493,69.36332561,2
10:41:31,4716.885385,69.6359337,2
10:41:31,4730.668132,69.90728222,2
10:41:31,4744.352627,70.17737887,2
10:41:31,4757.93974,70.44623128,2
10:41:31,4771.430335,70.71384703,3
10:41:31,3450.330813,71.67565994,3
10:41:31,3694.64328,71.79456004,3
10:41:31,3556.047174,72.07128226,3
10:41:31,3656.766857,72.24997262,3
10:41:32,3606.524345,72.48963425,3
10:41:32,3656.798922,72.68884391,3
10:41:32,3634.313504,72.91672539,3
10:41:32,3665.817093,73.12267866,3
10:41:32,3656.885717,73.34440652,3
10:41:32,3678.087618,73.55373028,3
10:41:32,3676.877431,73.77163137,3
10:41:32,3692.021665,73.98263418,3
10:41:32,3695.248911,74.19802437,3
10:41:33,3706.973773,74.4096549,3
10:41:33,3712.622991,74.62334175,3
10:41:33,3722.493351,74.83497707,3
10:41:33,3729.391555,75.04743099,3
10:41:33,3738.29015,75.25872052,3
10:41:33,3745.790189,75.47020169,3
10:41:33,3754.190362,75.68095831,3
10:41:33,3761.953493,75.89160372,3
10:41:33,3770.096624,76.10173292,3
10:41:33,3777.954503,76.31161151,3
10:41:34,3785.957753,76.52106833,3
10:41:34,3793.830931,76.73021359,3
10:41:34,3801.748509,76.9389782,3
10:41:34,3809.601416,77.14740607,3
10:41:34,3817.457303,77.3554707,3
10:41:34,3825.274891,77.56318896,3
10:41:34,3833.0793,77.7705513,3
10:41:34,3840.855623,77.9775641,3
10:41:34,3848.612814,78.18422424,3
10:41:34,3856.345761,78.39053418,3
10:41:35,3864.057549,78.59649316,3
10:41:35,3872.203838,78.8019083,3
10:41:35,3880.910364,79.00670797,3
10:41:35,3888.879245,79.21141928,3
10:41:35,3897.6932,79.41540068,3
10:41:35,3905.43936,79.61942859,3
10:41:35,3914.409732,79.822574,3
10:41:35,3921.882316,80.02594121,3
10:41:35,3931.061864,80.22823139,3
10:41:36,3938.208476,80.43096118,3
10:41:36,3947.648789,80.63237738,3
10:41:36,3954.421311,80.8344913,3
10:41:36,3964.166248,81.03501792,3
10:41:36,3970.527993,81.23653284,3
10:41:36,3980.606212,81.43616046,3
10:41:36,3986.539442,81.63708561,3
10:41:36,3996.957208,81.83581387,3
10:41:36,4002.469665,82.03614811,3
10:41:36,4013.216609,82.23398796,3
10:41:37,4018.382845,82.43372744,3
10:41:37,4029.371965,82.63074094,3
10:41:37,4034.250027,82.82986951,3
10:41:37,4045.398932,83.02609193,3
10:41:37,4050.082764,83.22457324,3
10:41:37,4061.289257,83.42004786,3
10:41:37,4065.888018,83.61783944,3
10:41:37,4077.039806,83.81261361,3
10:41:37,4081.667068,84.00967124,3
10:41:38,4092.653172,84.20379172,3
10:41:38,4097.415373,84.40007409,3
10:41:38,4108.137315,84.59358256,3
10:41:38,4113.123421,84.78905548,3
10:41:38,4123.504338,84.98198484,3
10:41:38,4128.778356,85.17662426,3
10:41:38,4138.768677,85.36899634,3
10:41:38,4144.366029,85.5627898,3
10:41:38,4153.945071,85.75461471,3
10:41:39,4159.873016,85.94756118,3
10:41:39,4169.046737,86.13883825,3
10:41:39,4175.288245,86.33094651,3
10:41:39,4184.084045,86.52166641,3
10:41:39,4190.603974,86.71295259,3
10:41:39,4199.063867,86.90310008,3
10:41:39,4205.816081,87.09358471,3
10:41:39,4213.989575,87.28314152,3
10:41:39,4220.923742,87.47284685,3
10:41:39,4228.861566,87.66179425,3
